,pairs,matched,TP,FP,FN,presicion,recall,fscore,nunique
SVM,6665.0,2399.0,2399.0,0.0,101.0,100.0,95.96,97.94,2601.0
LogisticRegression,6665.0,2399.0,2399.0,0.0,101.0,100.0,95.96,97.94,2601.0
NaivesBayes,6665.0,2392.0,2385.0,7.0,115.0,99.71,95.4,97.51,2612.0
ECM,6665.0,2316.0,2309.0,7.0,191.0,99.7,92.36,95.89,2688.0
WeightedAverage,6665.0,2191.0,2190.0,1.0,310.0,99.95,87.6,93.37,2809.0
Pseudo Unique ID,1768.0,1768.0,1715.0,53.0,785.0,97.0,68.6,80.37,3255.0
SimSum,6665.0,1728.0,1692.0,36.0,808.0,97.92,67.68,80.04,3291.0
Exact Matching,461.0,461.0,461.0,0.0,2039.0,100.0,18.44,31.14,4539.0
